projection,pos,vol,width
row1_1,973.1(2.1),794(29),127(4)
row1_2,982.2(3.1),315(18),118(6)
row1_3,997(5),101(11),105(10)
row1_4,1003(7),75(10),112(13)
row1_5,1039(8),66(9),111(20)
row1_6,1036(6),148(14),143(12)
row1_7,1054(5),214(15),137(8)
row2_0,1007(4),205(15),130(8)
row2_1,1015(4),247(17),133(7)
row2_2,1015(4),270(17),142(7)
row2_3,1021(4),276(17),133(7)
row2_4,1032(4),259(17),138(7)
row2_5,1023(4),276(18),151(8)
row2_6,1020(5),266(18),151(10)
row2_7,1013(5),234(17),129(8)
row3_0,1033(4),307(19),140(9)
row3_1,1026(5),295(19),161(9)
row3_2,1005(6),201(16),154(12)
row3_3,997(6),212(16),169(13)
row3_4,984(6),180(15),144(11)
row3_5,978(8),117(13),154(18)
row3_6,966(13),108(13),216(34)
row3_7,974(12),99(12),197(20)
row4_0,1053(24),43(9),2.3(4)e+02
row4_1,1040(16),35(8),132(30)
row4_2,1058(16),30(7),123(32)
row4_4,1048.7(1.1),20(8),1.2(8)
row4_6,1090(9),9(5),4(6)e+01
