projection, theta_min, theta_max, theta_avg
row1_0, 15.6937, 17.5521, 16.67
row1_1, 17.6721, 19.2326, 18.4777
row1_2, 19.3369, 20.7207, 20.0454
row1_3, 20.8147, 22.0769, 21.4579
row1_4, 22.1635, 23.3349, 22.7585
row1_5, 23.4158, 24.5157, 23.9732
row1_6, 24.5921, 25.6337, 25.1191
row1_7, 25.7062, 26.699, 26.2079
row2_0, 27.1805, 28.1165, 27.6528
row2_1, 28.1821, 29.0839, 28.6368
row2_2, 29.1472, 30.0187, 29.5862
row2_3, 30.0799, 30.9244, 30.5051
row2_4, 30.9838, 31.804, 31.3966
row2_5, 31.8617, 32.6599, 32.2633
row2_6, 32.7162, 33.4943, 33.1075
row2_7, 33.5492, 34.309, 33.9311
row3_0, 34.6296, 35.3671, 35.0002
row3_1, 35.4193, 36.1415, 35.7821
row3_2, 36.1926, 36.9007, 36.5482
row3_3, 36.9508, 37.6457, 37.2997
row3_4, 37.6948, 38.3774, 38.0375
row3_5, 38.4257, 39.0967, 38.7625
row3_6, 39.1442, 39.8043, 39.4755
row3_7, 39.8511, 40.5009, 40.1772
row4_0, 40.7767, 41.4138, 41.0963
row4_1, 41.4589, 42.0871, 41.774
row4_2, 42.1316, 42.7512, 42.4424
row4_3, 42.7952, 43.4067, 43.1019
row4_4, 43.4501, 44.054, 43.7529
row4_5, 44.0968, 44.6934, 44.396
row4_6, 44.7358, 45.3253, 45.0313
row4_7, 45.3672, 45.9501, 45.6594
