projection, x_min, x_max, x_avg
row1_0, -588.55, -574.55, -581.55
row1_1, -573.55, -559.55, -566.55
row1_2, -558.55, -544.55, -551.55
row1_3, -543.55, -529.55, -536.55
row1_4, -528.55, -514.55, -521.55
row1_5, -513.55, -499.55, -506.55
row1_6, -498.55, -484.55, -491.55
row1_7, -483.55, -469.55, -476.55
row2_0, -462.55, -448.55, -455.55
row2_1, -447.55, -433.55, -440.55
row2_2, -432.55, -418.55, -425.55
row2_3, -417.55, -403.55, -410.55
row2_4, -402.55, -388.55, -395.55
row2_5, -387.55, -373.55, -380.55
row2_6, -372.55, -358.55, -365.55
row2_7, -357.55, -343.55, -350.55
row3_0, -337.55, -323.55, -330.55
row3_1, -322.55, -308.55, -315.55
row3_2, -307.55, -293.55, -300.55
row3_3, -292.55, -278.55, -285.55
row3_4, -277.55, -263.55, -270.55
row3_5, -262.55, -248.55, -255.55
row3_6, -247.55, -233.55, -240.55
row3_7, -232.55, -218.55, -225.55
row4_0, -212.55, -198.55, -205.55
row4_1, -197.55, -183.55, -190.55
row4_2, -182.55, -168.55, -175.55
row4_3, -167.55, -153.55, -160.55
row4_4, -152.55, -138.55, -145.55
row4_5, -137.55, -123.55, -130.55
row4_6, -122.55, -108.55, -115.55
row4_7, -107.55, -93.55, -100.55
