projection,pos,vol,width
#row1_4,2306(6),245(18),154(9)
row1_5,2306(4),232(18),105(7)
row1_6,2318(7),164(16),130(11)
row1_7,2287(7),195(17),161(14)
row2_0,2286(5),151(15),102(7)
row2_1,2295(7),133(16),127(14)
row2_2,2292(8),125(15),137(14)
row2_3,2319(10),110(15),139(20)
row2_3,2310(10),169(19),191(25)
row2_4,2308(12),109(16),161(23)
row2_5,2301(15),122(20),1.9(4)e+02
row2_6,2320(4),85(26),2.6(1.0)e+02
row2_7,2325(23),91(25),2.1(9)e+02
row3_0,2277(20),104(26),1.8(6)e+02
row3_1,2347(9),50(16),55(25)
