projection, Total, On, Eff
row1_0, 45, 45, 1
row1_1, 45, 45, 1
row1_2, 45, 44, 0.977778
row1_3, 45, 45, 1
row1_4, 45, 43, 0.955556
row1_5, 45, 45, 1
row1_6, 45, 45, 1
row1_7, 45, 42, 0.933333
row2_0, 45, 45, 1
row2_1, 45, 45, 1
row2_2, 45, 45, 1
row2_3, 45, 45, 1
row2_4, 45, 45, 1
row2_5, 45, 45, 1
row2_6, 45, 45, 1
row2_7, 45, 41, 0.911111
row3_0, 45, 45, 1
row3_1, 45, 45, 1
row3_2, 45, 44, 0.977778
row3_3, 45, 45, 1
row3_4, 45, 45, 1
row3_5, 45, 45, 1
row3_6, 45, 45, 1
row3_7, 45, 42, 0.933333
row4_0, 45, 44, 0.977778
row4_1, 45, 44, 0.977778
row4_2, 45, 44, 0.977778
row4_3, 45, 44, 0.977778
row4_4, 45, 45, 1
row4_5, 45, 44, 0.977778
row4_6, 45, 45, 1
row4_7, 45, 42, 0.933333
