projection, x_min, x_max, x_avg
row1_0, -570.505, -557.163, -563.834
row1_1, -556.21, -542.868, -549.539
row1_2, -541.915, -528.573, -535.245
row1_3, -527.62, -514.279, -520.949
row1_4, -513.325, -499.984, -506.654
row1_5, -499.031, -485.688, -492.36
row1_6, -484.736, -471.394, -478.065
row1_7, -470.441, -454.536, -462.488
row2_0, -447.865, -434.523, -441.194
row2_1, -433.57, -420.228, -426.899
row2_2, -419.274, -405.933, -412.603
row2_3, -404.98, -391.638, -398.309
row2_4, -390.685, -377.343, -384.014
row2_5, -376.389, -363.048, -369.719
row2_6, -362.095, -348.752, -355.423
row2_7, -347.8, -331.894, -339.847
row3_0, -326.177, -312.834, -319.505
row3_1, -311.881, -298.539, -305.21
row3_2, -297.587, -284.245, -290.916
row3_3, -283.291, -269.95, -276.62
row3_4, -268.996, -255.655, -262.325
row3_5, -254.702, -241.359, -248.031
row3_6, -240.406, -227.065, -233.736
row3_7, -226.112, -210.207, -218.159
row4_0, -204.488, -191.147, -197.817
row4_1, -190.193, -176.851, -183.522
row4_2, -175.898, -162.556, -169.227
row4_3, -161.603, -148.262, -154.933
row4_4, -147.308, -133.966, -140.637
row4_5, -133.014, -119.671, -126.343
row4_6, -118.718, -105.376, -112.047
row4_7, -104.423, -86.558, -95.4907
