projection, theta_min, theta_max, theta_avg
row1_0, -427.267, -0.95486, -2.27894
row1_1, -0.770975, 1.67823, 0.481802
row1_2, 1.84484, -0.70332, 2.98267
row1_3, -785.736, -0.241355, -65.4957
row1_4, 1.02066, 0.605272, -64.9801
row1_5, -2.04779, -64.2198, -64.4623
row1_6, -64.1852, -0.613399, 19081.5
row1_7, 0.209577, -0.647696, -63.3727
row2_0, -2.57139, 11.9687, 1.43744
row2_1, 12.2762, 15.1616, 13.9159
row2_2, 15.3225, 17.3033, 16.3663
row2_3, 17.4305, 19.0787, 18.2825
row2_4, 19.1886, 20.644, 19.9343
row2_5, 20.7428, 22.0667, 21.4177
row2_6, 22.1575, 23.384, 22.7807
row2_7, 23.4686, 24.8326, 24.1617
row3_0, 25.3024, 26.3627, 25.8386
row3_1, 26.4367, 27.4492, 26.9481
row3_2, 27.5199, 28.4915, 28.0102
row3_3, 28.5596, 29.4953, 29.0314
row3_4, 29.561, 30.4651, 30.0166
row3_5, 30.5287, 31.4048, 30.9698
row3_6, 31.4664, 32.317, 31.8945
row3_7, 32.3769, 33.3615, 32.8728
row4_0, 33.7086, 34.5055, 34.1093
row4_1, 34.5618, 35.3404, 34.9531
row4_2, 35.3954, 36.1571, 35.7781
row4_3, 36.2109, 36.9569, 36.5857
row4_4, 37.0097, 37.7413, 37.3771
row4_5, 37.793, 38.511, 38.1535
row4_6, 38.5618, 39.2672, 38.9159
row4_7, 39.3171, 40.2433, 39.7826
