projection,pos,vol,width
row2_0,1046.5(1.8),910(30),120.3(3.1)
row2_1,1090.5(3.0),376(20),126(6)
row2_2,1095(5),188(14),129(9)
row2_3,1093(5),100(11),100(10)
row2_4,1101(7),69(9),111(16)
row2_5,1108(11),58(9),136(18)
row2_6,1109(9),69(9),136(18)
row2_7,1115(8),65(9),120(21)
row3_0,1043(6),81(10),102(11)
row3_1,1070(6),97(11),119(14)
row3_2,1059(13),87(10),124(24)
row3_3,1067(7),115(12),141(16)
row3_4,1068(6),121(12),118(10)
row3_5,1075(7),116(12),146(14)
row3_6,1073(6),141(13),136(9)
row3_7,1067(6),107(11),119(9)
row4_0,1038(6),115(11),127(13)
row4_1,1032(8),97(11),157(13)
row4_2,1044(9),100(11),160(15)
row4_3,1038(9),88(10),149(14)
row4_4,1036(14),60(10),184(28)
row4_5,1054(13),57(9),158(23)
row4_6,1053(17),54(9),190(40)
row4_7,1038(23),28(7),170(50)
