projection, Total, On, Eff
row1_0, 48, 34, 0.708333
row1_1, 48, 33, 0.6875
row1_2, 48, 32, 0.666667
row2_0, 48, 32, 0.666667
row2_1, 48, 32, 0.666667
row2_2, 48, 33, 0.6875
row2_3, 48, 32, 0.666667
row2_4, 48, 32, 0.666667
row2_5, 48, 33, 0.6875
row2_6, 48, 32, 0.666667
row2_7, 48, 32, 0.666667
row3_0, 48, 45, 0.9375
row3_1, 48, 43, 0.895833
row3_2, 48, 47, 0.979167
row3_3, 48, 47, 0.979167
row3_4, 48, 48, 1
row3_5, 48, 45, 0.9375
row3_6, 48, 47, 0.979167
row3_7, 48, 47, 0.979167
row4_0, 48, 47, 0.979167
row4_1, 48, 48, 1
row4_2, 48, 46, 0.958333
row4_3, 48, 48, 1
row4_4, 48, 48, 1
row4_5, 48, 48, 1
row4_6, 48, 47, 0.979167
row4_7, 48, 48, 1
