projection, theta_min, theta_max, theta_avg
row1_0, 722.35, -360.002, 287.393
row1_1, 647.698, 2.57509, 1.37242
row1_2, 2.88033, -71.1844, 0.30292
#row2_0, -2.68781, 15.432, 13.7117
row2_1, 15.6244, 18.0379, 16.9189
row2_2, 18.1775, 20.0894, 19.1721
row2_3, 20.2071, 21.8627, 21.0581
row2_4, 21.967, 23.458, 22.7285
row2_5, 23.5531, 24.9255, 24.2513
row2_6, 25.0139, 26.2956, 25.6641
row2_7, 26.3784, 27.5874, 26.9906
row3_0, 27.9534, 29.09, 28.5278
row3_1, 29.164, 30.2516, 29.7131
row3_2, 30.3226, 31.3681, 30.85
row3_3, 31.4365, 32.4449, 31.9448
row3_4, 32.511, 33.4868, 33.0025
row3_5, 33.5509, 34.4974, 34.0274
row3_6, 34.5596, 35.4799, 35.0226
row3_7, 35.5403, 36.4368, 35.9913
row4_0, 36.7128, 37.5828, 37.1502
row4_1, 37.6401, 38.4905, 38.0675
row4_2, 38.5466, 39.379, 38.9648
row4_3, 39.434, 40.2497, 39.8437
row4_4, 40.3036, 41.1039, 40.7055
row4_5, 41.1568, 41.9427, 41.5514
row4_6, 41.9947, 42.7672, 42.3824
row4_7, 42.8182, 43.5781, 43.1996
