projection, theta_min, theta_max, theta_avg
row1_0, 1369.38, -69.9948, -719.481
row1_1, -69.9532, -69.3285, -69.6412
row1_2, -69.2868, -68.6593, -68.9734
row2_0, -68.4626, -67.1552, -67.8104
row2_1, -67.1128, -1.18258, -426.454
row2_2, -65.7493, 0.974554, -2.71445
row2_3, 1.19561, 3.57957, -423.697
row3_0, -0.918717, 2.10621, -1797.03
#row3_1, 2.94048, 13.7885, -60.7064
row3_2, 14.0637, 19.574, 17.2367
row3_3, 19.7104, 23.4223, 21.6721
row4_0, 23.9205, 26.946, 25.4851
row4_1, 27.0372, 29.7144, 28.4098
row4_2, 29.7966, 32.2352, 31.0404
row4_3, 32.3107, 34.5719, 33.46
