projection, x_min, x_max, x_avg
row1_0, -552.375, -538.081, -545.228
row1_1, -537.128, -522.832, -529.98
row1_2, -521.88, -507.584, -514.732
row2_0, -503.115, -473.572, -488.344
row2_1, -472.62, -443.077, -457.848
row2_2, -442.124, -412.581, -427.352
row2_3, -411.627, -382.085, -396.856
row3_0, -377.615, -348.072, -362.844
row3_1, -347.12, -317.577, -332.348
row3_2, -316.624, -287.081, -301.852
row3_3, -286.127, -256.584, -271.356
row4_0, -252.115, -222.572, -237.344
row4_1, -221.619, -192.077, -206.848
row4_2, -191.123, -161.58, -176.352
row4_3, -160.627, -131.084, -145.856
