param Ex m m_err c c_err

ArrayDeadlayer_0.0001 0 -0.167094 0.0139367 -126.916 5.84377
ArrayDeadlayer_0.0001 1016.93 -0.238639 0.0146422 -156.074 5.00734
ArrayDeadlayer_0.0001 2315.1 -0.460671 0.0476223 -237.323 16.0287
ArrayDeadlayer_0.0002 0 -0.186724 0.0137266 -112.032 5.75462
ArrayDeadlayer_0.0002 1016.93 -0.274814 0.0140747 -148.665 4.86938
ArrayDeadlayer_0.0002 2315.1 -0.426674 0.0452783 -204.764 15.0303
ArrayDeadlayer_0.00030000000000000003 0 -0.228756 0.0138791 -108.323 5.76766
ArrayDeadlayer_0.00030000000000000003 1016.93 -0.299185 0.0146534 -134.738 5.03797
ArrayDeadlayer_0.00030000000000000003 2315.1 -0.347304 0.0419311 -161.112 14.2409
ArrayDeadlayer_0.0004000000000000001 0 -0.257663 0.0137137 -100.266 5.8414
ArrayDeadlayer_0.0004000000000000001 1016.93 -0.330137 0.0143721 -124.039 4.88945
ArrayDeadlayer_0.0004000000000000001 2315.1 -0.410931 0.0428916 -156.758 14.4261
ArrayDeadlayer_0.0005 0 -0.301262 0.0134536 -97.8887 5.68001
ArrayDeadlayer_0.0005 1016.93 -0.36701 0.0147902 -116.186 5.11094
ArrayDeadlayer_0.0005 2315.1 -0.37647 0.0405806 -124.537 13.8696
ArrayDeadlayer_0.0006000000000000001 0 -0.328709 0.0143571 -88.5049 6.10521
ArrayDeadlayer_0.0006000000000000001 1016.93 -0.39515 0.0148249 -106.199 5.07429
ArrayDeadlayer_0.0006000000000000001 2315.1 -0.351471 0.0415681 -95.6079 14.139
ArrayDeadlayer_0.0007000000000000001 0 -0.336017 0.0129151 -71.6504 5.52694
ArrayDeadlayer_0.0007000000000000001 1016.93 -0.43985 0.0143067 -99.9087 4.9346
ArrayDeadlayer_0.0007000000000000001 2315.1 -0.274394 0.0431903 -54.4088 14.6652
