param Ex m m_err c c_err

ArrayDistance_-140 0 -0.1892 0.013486 -193.799 5.75782
ArrayDistance_-140 1016.93 -0.309058 0.0142232 -236.062 4.86273
ArrayDistance_-138 0 -0.213602 0.0136012 -181.503 5.74741
ArrayDistance_-138 1016.93 -0.312423 0.0142174 -215.774 4.85284
ArrayDistance_-138 2315.1 -0.31594 0.0426582 -226.506 14.7565
ArrayDistance_-136 0 -0.22848 0.0138296 -165.149 5.83469
ArrayDistance_-136 1016.93 -0.310946 0.0142176 -192.965 4.85669
ArrayDistance_-134 0 -0.233097 0.0135134 -144.212 5.70662
ArrayDistance_-134 1016.93 -0.31547 0.0145384 -172.207 4.95665
ArrayDistance_-134 2315.1 -0.473637 0.0380706 -237.037 12.5577
ArrayDistance_-132 0 -0.234593 0.0133253 -122.475 5.65591
ArrayDistance_-132 1016.93 -0.316975 0.0143721 -150.888 4.88945
ArrayDistance_-132 2315.1 -0.329638 0.0404352 -165.137 13.6417
ArrayDistance_-130 0 -0.246193 0.0138439 -103.597 5.89498
ArrayDistance_-130 1016.93 -0.336413 0.0143717 -136.847 4.88602
ArrayDistance_-130 2315.1 -0.378385 0.0436424 -157.133 14.3001
ArrayDistance_-128 0 -0.262006 0.0140882 -88.025 5.89535
ArrayDistance_-128 1016.93 -0.343017 0.0143983 -116.984 4.906
ArrayDistance_-128 2315.1 -0.420029 0.0428663 -148.49 14.4076
ArrayDistance_-126 0 -0.263487 0.0136569 -67.4105 5.8017
ArrayDistance_-126 1016.93 -0.351487 0.0148469 -97.9852 5.09219
ArrayDistance_-126 2315.1 -0.458448 0.0456356 -139.048 15.359
ArrayDistance_-124 0 -0.29188 0.0142459 -56.3431 5.97013
ArrayDistance_-124 1016.93 -0.359185 0.0145072 -78.8487 4.98496
ArrayDistance_-124 2315.1 -0.475858 0.0507289 -124.79 16.7248
ArrayDistance_-122 0 -0.29266 0.0142459 -34.9448 5.97013
ArrayDistance_-122 1016.93 -0.360317 0.0144774 -57.4738 4.96674
ArrayDistance_-122 2315.1 -0.501164 0.0516265 -110.579 17.2801
