param Ex m m_err c c_err

Mfield_1.9 0 -0.904378 0.0312288 -132.04 10.2423
Mfield_1.9 1016.93 -0.847885 0.0215179 -116.124 6.53483
Mfield_1.95 0 -0.596126 0.0182648 -122.61 7.14468
Mfield_1.95 1016.93 -0.63718 0.0149576 -132.764 5.14009
Mfield_2.0 0 -0.257663 0.0137137 -100.266 5.8414
Mfield_2.0 1016.93 -0.330137 0.0143721 -124.039 4.88945
Mfield_2.05 0 0.0334573 0.0150471 -94.8663 6.13536
Mfield_2.05 1016.93 -0.0155792 0.0142232 -114.417 4.86273
Mfield_2.02 0 -0.105791 0.0139525 -85.4926 5.94054
Mfield_2.02 1016.93 -0.211694 0.0146534 -123.267 5.03797
Mfield_2.06 0 0.116739 0.0154086 -84.2587 6.26241
Mfield_2.06 1016.93 0.0448063 0.0143191 -114.011 4.93302
Mfield_2.03 0 -0.0393771 0.0133197 -81.8019 5.6728
Mfield_2.03 1016.93 -0.145743 0.013966 -120.027 4.74825
Mfield_2.04 0 0.0563244 0.0135484 -67.1574 5.87021
Mfield_2.04 1016.93 -0.0803272 0.0143191 -117.759 4.93823

Mfield_2.0 2315.1 -0.410931 0.0428916 -156.758 14.4261
Mfield_2.05 2315.1 -0.152956 0.0360585 -180.563 12.2256
Mfield_2.02 2315.1 -0.244148 0.0424865 -141.526 13.9377
Mfield_2.06 2315.1 -0.125326 0.0498949 -176.15 15.7781
Mfield_2.03 2315.1 -0.157284 0.0387472 -130.953 13.1359
Mfield_2.04 2315.1 -0.0360404 0.0388818 -110.813 13.2862
