param Ex m m_err c c_err

TargetThickness_0.1 0 -0.236734 0.013642 -83.6994 5.80478
TargetThickness_0.1 1016.93 -0.315958 0.0144455 -111.068 4.94724
TargetThickness_0.1 2315.1 -0.420228 0.0442656 -153.655 14.6801
TargetThickness_0.2 0 -0.286163 0.0140626 -122.428 5.85909
TargetThickness_0.2 1016.93 -0.354249 0.0142176 -145.731 4.85669
TargetThickness_0.2 2315.1 -0.390545 0.0435887 -164.134 14.6493
TargetThickness_0.3 0 -0.326273 0.0138778 -157.402 5.7747
TargetThickness_0.3 1016.93 -0.41167 0.0149872 -187.303 5.18247
TargetThickness_0.3 2315.1 -0.520029 0.0439394 -230.912 14.747
TargetThickness_0.141 0 -0.257663 0.0137137 -100.266 5.8414
TargetThickness_0.141 1016.93 -0.330137 0.0143721 -124.039 4.88945
TargetThickness_0.141 2315.1 -0.410931 0.0428916 -156.758 14.4261


