param Ex m m_err c c_err
Mfield_2.0 0 -0.235774 0.0133439 -101.322 5.62699
Mfield_2.0 1016.93 -0.305738 0.0146193 -127.528 5.01282
Mfield_2.0 2315.1 -0.391283 0.0418597 -167.508 13.7899
Mfield_2.03 0 -0.0104293 0.0132837 -80.1253 5.59414
Mfield_2.03 1016.93 -0.113885 0.0143809 -119.175 4.92293
Mfield_2.03 2315.1 -0.142423 0.0407063 -142.088 13.5773
ArrayDeadlayer_0.0003 0 -0.193136 0.0134888 -100.468 5.67323
ArrayDeadlayer_0.0003 1016.93 -0.271038 0.0143897 -133.099 4.99438
ArrayDeadlayer_0.0003 2315.1 -0.42926 0.0414563 -196.002 13.8456
ArrayDistance_-125 0 -0.252147 0.014167 -62.3543 5.95294
ArrayDistance_-125 1016.93 -0.31722 0.0144502 -86.4121 4.98082
ArrayDistance_-125 2315.1 -0.499366 0.0452162 -156.06 14.846
