param_a param_b Ex m m_err c c_err chi2_0_ndf
ArrayDistance_-121 Mfield_2.03 0 -0.0737001 0.0133316 -3.94252 5.63555 40.714
ArrayDistance_-121 Mfield_2.03 1016.93 -0.15891 0.0149838 -34.8059 5.18934 41.8022
ArrayDistance_-121 Mfield_2.03 2315.1 -0.285774 0.0439632 -83.1406 14.6476 15.8661
ArrayDistance_-124 Mfield_2.03 0 -0.0503117 0.0133927 -26.9613 5.69885 10.8581
ArrayDistance_-124 Mfield_2.03 1016.93 -0.14669 0.0141892 -62.9886 4.83882 32.4562
ArrayDistance_-124 Mfield_2.03 2315.1 -0.169895 0.0434148 -81.1227 14.5021 22.0243
ArrayDistance_-122 Mfield_2.045 0 0.0467773 0.0135221 -0.945636 5.75669 28.8733
ArrayDistance_-122 Mfield_2.045 1016.93 -0.0602336 0.0146193 -39.7691 5.01744 35.1229
ArrayDistance_-122 Mfield_2.045 2315.1 -0.0477512 0.0433065 -48.0915 14.4436 26.655
ArrayDistance_-126 Mfield_2.045 0 0.0780313 0.0130256 -34.3987 5.59923 208.465
ArrayDistance_-126 Mfield_2.045 1016.93 -0.0451072 0.0144924 -80.1272 5.00313 280.944
ArrayDistance_-126 Mfield_2.045 2315.1 -0.0641724 0.0398173 -96.226 13.6674 139.494
ArrayDistance_-124 Mfield_2.035 0 -0.0148882 0.013516 -24.3655 5.73061 23.4823
ArrayDistance_-124 Mfield_2.035 1016.93 -0.112977 0.0146422 -61.3727 5.00311 52.0168
ArrayDistance_-124 Mfield_2.035 2315.1 -0.148737 0.0440014 -83.9538 14.4485 32.4482
ArrayDistance_-122 Mfield_2.04 0 0.023689 0.0139263 1.83584 5.97482 11.4033
ArrayDistance_-122 Mfield_2.04 1016.93 -0.0930571 0.0144925 -42.2581 5.00877 20.0555
ArrayDistance_-122 Mfield_2.04 2315.1 -0.116898 0.0397134 -59.2443 13.363 18.4045
ArrayDistance_-126 Mfield_2.04 0 0.0252509 0.013589 -42.7818 5.80901 126.204
ArrayDistance_-126 Mfield_2.04 1016.93 -0.0801324 0.0146193 -81.6111 5.01744 200.883
ArrayDistance_-126 Mfield_2.04 2315.1 -0.060538 0.0417611 -85.1329 14.3138 104.945
ArrayDistance_-125 Mfield_2.045 0 0.0463143 0.0134191 -36.5629 5.68391 138.954
ArrayDistance_-125 Mfield_2.045 1016.93 -0.0403129 0.0146534 -65.3376 5.03797 177.584
ArrayDistance_-125 Mfield_2.045 2315.1 -0.0151877 0.0398463 -70.9159 13.5676 106.173
ArrayDistance_-122 Mfield_2.03 0 -0.0731141 0.0137099 -15.3768 5.82593 20.1126
ArrayDistance_-122 Mfield_2.03 1016.93 -0.150737 0.0143721 -41.4601 4.88945 24.1693
ArrayDistance_-122 Mfield_2.03 2315.1 -0.205854 0.0443356 -70.4329 14.9359 11.3482
ArrayDistance_-125 Mfield_2.025 0 -0.0983705 0.0133007 -47.5145 5.62266 14.8285
ArrayDistance_-125 Mfield_2.025 1016.93 -0.175613 0.0146359 -74.3619 5.00083 40.5005
ArrayDistance_-125 Mfield_2.025 2315.1 -0.164078 0.0425745 -82.0448 14.2831 27.5543
ArrayDistance_-124 Mfield_2.025 0 -0.10104 0.013554 -37.1336 5.73009 13.932
ArrayDistance_-124 Mfield_2.025 1016.93 -0.166551 0.0142116 -59.7642 4.85021 24.9047
