param_a param_b Ex m m_err c c_err chi2_0_ndf
ArrayDeadlayer_0.0005 Mfield_2.03 0 -0.0562688 0.013289 -68.5338 5.75315 102.432
ArrayDeadlayer_0.0005 Mfield_2.03 1016.93 -0.156583 0.0144386 -101.272 4.94028 176.146
ArrayDeadlayer_0.0005 Mfield_2.03 2315.1 -0.0690661 0.0425127 -86.4402 14.6738 90.4212
ArrayDeadlayer_0.0003 Mfield_2.05 0 0.140117 0.0134162 -76.5009 5.6998 779.883
ArrayDeadlayer_0.0003 Mfield_2.05 1016.93 0.0310049 0.0143045 -118.507 4.92396 1068.54
ArrayDeadlayer_0.0003 Mfield_2.05 2315.1 0.0590662 0.0410942 -124.327 14.0549 484.337
ArrayDeadlayer_0.0007 Mfield_2.0 0 -0.339228 0.013144 -71.1227 5.69919 272.405
ArrayDeadlayer_0.0007 Mfield_2.0 1016.93 -0.409837 0.0147712 -88.322 5.12821 237.853
ArrayDeadlayer_0.0007 Mfield_2.0 2315.1 -10.8614 0.0282025 -3924.86 8.71273 47800.3
ArrayDeadlayer_0.0004 Mfield_2.02 0 -0.108068 0.0135888 -84.5423 5.84131 76.103
ArrayDeadlayer_0.0004 Mfield_2.02 1016.93 -0.193334 0.0146359 -115.207 5.00083 189.011
ArrayDeadlayer_0.0004 Mfield_2.02 2315.1 -0.174588 0.0404278 -122.672 13.7233 102.561
ArrayDeadlayer_0.0006 Mfield_2.04 0 0.00398028 0.0130905 -48.2114 5.64886 133.716
ArrayDeadlayer_0.0006 Mfield_2.04 1016.93 -0.122903 0.0146334 -88.0145 5.05805 154.383
ArrayDeadlayer_0.0006 Mfield_2.04 2315.1 0.0160444 0.0416796 -53.8706 13.8968 88.9528
ArrayDeadlayer_0.0007 Mfield_2.04 0 -0.0458758 0.0131737 -47.9332 5.59055 57.5688
ArrayDeadlayer_0.0007 Mfield_2.04 1016.93 -0.152255 0.0142798 -77.1966 4.91171 64.3918
ArrayDeadlayer_0.0007 Mfield_2.04 2315.1 -0.219043 0.0530631 -102.271 16.7935 29.6364
ArrayDeadlayer_0.0005 Mfield_2.02 0 -0.146017 0.0136879 -80.1063 5.79871 36.1874
ArrayDeadlayer_0.0005 Mfield_2.02 1016.93 -0.226045 0.0144543 -106.418 4.98552 94.2197
ArrayDeadlayer_0.0005 Mfield_2.02 2315.1 -0.180225 0.0398842 -103.393 13.4567 53.65
ArrayDeadlayer_0.0006 Mfield_2.03 0 -0.0798685 0.0131399 -58.4192 5.65146 48.9436
ArrayDeadlayer_0.0006 Mfield_2.03 1016.93 -0.195423 0.0147815 -93.9158 5.05273 79.6667
ArrayDeadlayer_0.0006 Mfield_2.03 2315.1 -0.0627528 0.0426253 -61.1533 14.1833 46.1296
ArrayDeadlayer_0.0004 Mfield_2.04 0 0.0429985 0.0129081 -71.6166 5.55975 345.706
ArrayDeadlayer_0.0004 Mfield_2.04 1016.93 -0.0629042 0.0144422 -109.564 4.97324 512.644
ArrayDeadlayer_0.0004 Mfield_2.04 2315.1 -9.71614 0.0269405 -3681.66 8.45335 48007.6
ArrayDeadlayer_0.0004 Mfield_2.0 0 -0.255533 0.0137365 -98.3112 5.8833 36.6711
ArrayDeadlayer_0.0004 Mfield_2.0 1016.93 -0.320629 0.0144774 -120.369 4.96674 70.346
ArrayDeadlayer_0.0004 Mfield_2.0 2315.1 -0.356672 0.0414322 -142.161 14.1069 26.6564
ArrayDeadlayer_0.0006 Mfield_2.05 0 0.0751943 0.0143857 -41.4569 6.18915 245.499
ArrayDeadlayer_0.0006 Mfield_2.05 1016.93 -0.0504102 0.0144502 -83.6585 4.98082 294.112
ArrayDeadlayer_0.0006 Mfield_2.05 2315.1 0.0348483 0.0451065 -64.9392 14.7746 133.668
ArrayDeadlayer_0.0006 Mfield_2.0 0 -0.326356 0.0143847 -86.4655 6.16718 149.826
ArrayDeadlayer_0.0006 Mfield_2.0 1016.93 -0.371453 0.0148969 -96.8241 5.10204 112.8
ArrayDeadlayer_0.0006 Mfield_2.0 2315.1 -0.315864 0.0447997 -89.2898 15.3309 17.6806
ArrayDeadlayer_0.0007 Mfield_2.02 0 -0.169264 0.0132233 -51.4258 5.80308 47.5531
ArrayDeadlayer_0.0007 Mfield_2.02 1016.93 -0.282759 0.0144577 -83.5221 4.98788 54.3161
ArrayDeadlayer_0.0007 Mfield_2.02 2315.1 -0.158509 0.0429123 -50.8005 14.4566 15.3522
ArrayDeadlayer_0.0007 Mfield_2.05 0 0.01213 0.0146172 -45.6793 6.19481 115.329
ArrayDeadlayer_0.0007 Mfield_2.05 2315.1 -0.00784818 0.0450669 -56.5419 14.6873 73.3662
ArrayDeadlayer_0.0003 Mfield_2.02 0 -0.0725613 0.0135335 -92.1232 5.75886 175.372
ArrayDeadlayer_0.0003 Mfield_2.02 1016.93 -0.158351 0.0143045 -124.309 4.92396 349.075
ArrayDeadlayer_0.0003 Mfield_2.02 2315.1 -0.225782 0.0410925 -162.337 13.8366 197.207
ArrayDeadlayer_0.0005 Mfield_2.05 0 0.119791 0.0135036 -45.5832 5.8608 429.768
ArrayDeadlayer_0.0005 Mfield_2.05 1016.93 -0.0330194 0.0144455 -98.8864 4.94299 512.376
ArrayDeadlayer_0.0005 Mfield_2.05 2315.1 0.0395842 0.0419594 -86.1808 14.2024 237.204
ArrayDeadlayer_0.0005 Mfield_2.0 0 -0.29225 0.0138245 -92.8343 5.86325 72.5506
ArrayDeadlayer_0.0005 Mfield_2.0 1016.93 -0.341589 0.0146042 -106.783 4.97766 67.6932
ArrayDeadlayer_0.0005 Mfield_2.0 2315.1 -0.295225 0.0415947 -99.5997 14.2213 14.6368
ArrayDeadlayer_0.0007 Mfield_2.05 0 0.01213 0.0146172 -45.6793 6.19481 115.329
ArrayDeadlayer_0.0007 Mfield_2.05 1016.93 8.73426 0.967439 -3998.96 442.94 inf
ArrayDeadlayer_0.0007 Mfield_2.05 2315.1 -0.00784818 0.0450669 -56.5419 14.6873 73.3662
