param Ex m m_err c c_err



ArrayDistance_-130 0 -0.0309889 0.0135706 -88.947 5.75208
ArrayDistance_-130 1016.93 -0.145902 0.0144925 -130.233 5.00877
ArrayDistance_-130 2315.1 -0.117114 0.0398463 -132.955 13.5676
ArrayDistance_-127 0 -0.0497055 0.0136403 -62.6118 5.78612
ArrayDistance_-127 1016.93 -0.144865 0.0146359 -96.2776 5.00083
ArrayDistance_-127 2315.1 -0.13496 0.042061 -102.069 14.3961
ArrayDistance_-124 0 -0.0696227 0.0136275 -37.5852 5.80423
ArrayDistance_-124 1016.93 -0.155663 0.0141892 -67.2347 4.83882
ArrayDistance_-124 2315.1 -0.213321 0.0434785 -94.8661 14.6524
ArrayDeadlayer_0.0003 0 -0.0111485 0.0134174 -92.1468 5.71426
ArrayDeadlayer_0.0003 1016.93 -0.104324 0.0143121 -126.589 4.93135
ArrayDeadlayer_0.0003 2315.1 4.94014 0.0256436 620.134 9.1156
ArrayDeadlayer_0.0004 0 -0.0393771 0.0133197 -81.8019 5.6728
ArrayDeadlayer_0.0004 1016.93 -0.145743 0.013966 -120.027 4.74825
ArrayDeadlayer_0.0004 2315.1 -0.157284 0.0387472 -130.953 13.1359
ArrayDeadlayer_0.0006 0 -0.0748328 0.0126867 -58.4162 5.46002
ArrayDeadlayer_0.0006 1016.93 -0.218526 0.0147712 -104.034 5.12821
ArrayDeadlayer_0.0006 2315.1 -0.0528777 0.0432818 -59.0813 14.5026
