projection,pos,vol,width
row1_0,1.1368683772161603(0)e-13,nan(0),nan(nan)
row1_1,1.1368683772161603(0)e-13,nan(0),nan(nan)
row1_2,1.1368683772161603(0)e-13,nan(0),nan(nan)
row2_0,1.1368683772161603(0)e-13,nan(0),nan(nan)
row2_1,1.1368683772161603(0)e-13,nan(0),nan(nan)
row2_2,1.1368683772161603(0)e-13,nan(0),nan(nan)
row2_3,1.1368683772161603(0)e-13,nan(0),nan(nan)
row3_0,1.1368683772161603(0)e-13,nan(0),nan(nan)
row3_1,1.1368683772161603(0)e-13,nan(0),nan(nan)
row3_2,1.1368683772161603(0)e-13,nan(0),nan(nan)
row3_3,1.1368683772161603(0)e-13,nan(0),nan(nan)
row4_0,1.1368683772161603(0)e-13,nan(0),nan(nan)
row4_1,1.1368683772161603(0)e-13,nan(0),nan(nan)
row4_2,1.1368683772161603(0)e-13,nan(0),nan(nan)
row4_3,1.1368683772161603(0)e-13,nan(0),nan(nan)
