param Ex m m_err c c_err
Mfield_2.0 0 -0.238316 0.0133496 -90.4457 5.6488
Mfield_2.0 1016.93 -0.317265 0.0145442 -118.428 4.96285
Mfield_2.0 2315.1 -0.393806 0.0421199 -150.68 14.1093
Mfield_2.03 0 -0.0323286 0.0133 -78.5811 5.65859
Mfield_2.03 1016.93 -0.125887 0.0144841 -112.327 4.97343
Mfield_2.03 2315.1 -0.133185 0.0406181 -123.262 13.8915
ArrayDeadlayer_0.00015 0 -0.156146 0.01388 -110.445 5.79777
ArrayDeadlayer_0.00015 1016.93 -0.232566 0.0146534 -143.338 5.03304
ArrayDeadlayer_0.00015 2315.1 -0.45573 0.0446767 -222.917 14.7842
ArrayDeadlayer_0.0003 0 -0.218567 0.013877 -103.144 5.76726
ArrayDeadlayer_0.0003 1016.93 -0.286504 0.0144841 -129.232 4.97343
ArrayDeadlayer_0.0003 2315.1 -0.372446 0.0439239 -168.148 14.6974
ArrayDeadlayer_0.0005 0 -0.286865 0.013806 -90.0725 5.8715
ArrayDeadlayer_0.0005 1016.93 -0.354379 0.0144519 -110.862 4.95372
ArrayDeadlayer_0.0005 2315.1 -0.396405 0.0422879 -131.356 14.1364
ArrayDistance_-125 0 -0.266448 0.01398 -56.2447 5.8181
ArrayDistance_-125 1016.93 -0.332139 0.0143809 -79.5315 4.92293
ArrayDistance_-125 2315.1 -0.411017 0.0478534 -109.467 15.7383
