projection,pos,vol,width
row1_0,54(4),105(11),87(8)
row1_1,88(7),88(10),119(12)
row1_2,99(9),73(10),126(16)
row2_0,71(6),113(12),132(14)
row2_1,80(10),81(10),148(18)
row2_2,97(6),97(11),119(11)
row2_3,89(7),91(10),121(12)
row2_4,106(6),78(10),104(11)
row2_5,122(9),95(11),154(18)
row2_6,100(9),89(11),151(14)
row2_7,113(10),57(9),122(13)
row3_0,68(10),59(9),132(20)
row3_1,48(5),49(8),67(20)
row3_2,69(14),48(8),149(27)
row3_3,60(9),51(8),122(15)
row3_4,51(13),58(9),170(29)
row3_5,58(11),48(8),135(30)
row3_6,61(9),75(9),158(21)
row3_7,76(19),34(8),152(35)
row4_0,22(17),30(6),130(50)
row4_1,43(11),32(7),113(23)
row4_2,80(22),18(7),140(90)
row4_3,49(13),38(7),131(26)
row4_6,51(6),10(4),33(16)
