projection, theta_min, theta_max, theta_avg
row1_0, 13.8015, 16.7454, 15.459
row1_1, 16.9012, 18.9681, 17.9887
row1_2, 19.0922, 20.8209, 19.9852
row2_0, 21.3193, 22.8143, 22.0839
row2_1, 22.9093, 24.2785, 23.6065
row2_2, 24.3662, 25.6404, 25.0131
row2_3, 25.7227, 26.9215, 26.33
row2_4, 26.9993, 28.1366, 27.5745
row2_5, 28.2106, 29.296, 28.7589
row2_6, 29.3669, 30.408, 29.8923
row2_7, 30.476, 31.4786, 30.9816
row3_0, 31.7854, 32.7468, 32.2697
row3_1, 32.8099, 33.7419, 33.2791
row3_2, 33.803, 34.7086, 34.2588
row3_3, 34.7682, 35.6498, 35.2117
row3_4, 35.7078, 36.5678, 36.1402
row3_5, 36.6244, 37.4643, 37.0466
row3_6, 37.5197, 38.3413, 37.9326
row3_7, 38.3955, 39.2002, 38.7997
row4_0, 39.4487, 40.2342, 39.8432
row4_1, 40.286, 41.0573, 40.6733
row4_2, 41.1082, 41.8659, 41.4886
row4_3, 41.916, 42.6612, 42.29
row4_4, 42.7105, 43.4438, 43.0785
row4_5, 43.4924, 44.2147, 43.8548
row4_6, 44.2625, 44.9744, 44.6196
row4_7, 45.0215, 45.7235, 45.3736
