projection, theta_min, theta_max, theta_avg
row1_0, -71.2906, -70.6939, -70.9925
row1_1, -70.654, 1729.95, -70.3547
row1_2, -430.015, -789.413, -357.491
row2_0, 5399.39, -68.6199, -1.69386
row2_1, -68.5795, -1.2676, -3.09666
row2_2, -1.03357, 2.24526, 0.658433
row2_3, 2.44983, -426.667, -1.73604
row2_4, -66.6262, -786.01, -0.680088
row2_5, 1.48881, -425.349, 2.98614
row2_6, -65.3076, 1.57773, 1735
row2_7, 2.45047, -64.0166, -64.3302
row3_0, 2.35094, 14.4092, 11.8234
row3_1, 14.6504, 17.4913, 16.2038
row3_2, 17.6499, 19.7907, 18.7694
row3_3, 19.9209, 21.7441, 20.8604
row3_4, 21.8583, 23.4863, 22.6911
row3_5, 23.5898, 25.0803, 24.3488
row3_6, 25.176, 26.5628, 25.8801
row3_7, 26.6523, 27.957, 27.3133
row4_0, 28.3513, 29.5747, 28.9699
row4_1, 29.6542, 30.8232, 30.2446
row4_2, 30.8995, 32.0214, 31.4656
row4_3, 32.0949, 33.1761, 32.64
row4_4, 33.247, 34.2922, 33.7735
row4_5, 34.3608, 35.374, 34.8709
row4_6, 35.4406, 36.425, 35.936
row4_7, 36.4897, 37.4482, 36.9719
