projection, x_min, x_max, x_avg
row1_0, -552.375, -538.081, -545.228
row1_1, -537.128, -522.832, -529.98
row1_2, -521.88, -507.584, -514.732
row2_0, -503.115, -488.82, -495.968
row2_1, -487.867, -473.572, -480.72
row2_2, -472.62, -458.325, -465.472
row2_3, -457.371, -443.077, -450.224
row2_4, -442.124, -427.828, -434.976
row2_5, -426.875, -412.581, -419.728
row2_6, -411.627, -397.332, -404.48
row2_7, -396.38, -382.085, -389.232
row3_0, -377.615, -363.32, -370.468
row3_1, -362.367, -348.072, -355.22
row3_2, -347.12, -332.824, -339.972
row3_3, -331.871, -317.577, -324.724
row3_4, -316.624, -302.328, -309.476
row3_5, -301.375, -287.081, -294.228
row3_6, -286.127, -271.832, -278.98
row3_7, -270.88, -256.584, -263.732
row4_0, -252.115, -237.82, -244.968
row4_1, -236.868, -222.572, -229.72
row4_2, -221.619, -207.325, -214.472
row4_3, -206.371, -192.077, -199.224
row4_4, -191.123, -176.829, -183.976
row4_5, -175.875, -161.58, -168.728
row4_6, -160.627, -146.332, -153.48
row4_7, -145.38, -131.084, -138.232
